"train_no","scheduled_dt","route","carrier","eq_code","set_no","dep_delay","arr_delay","station","country","latitude","longitude","zoom","hr","group","assistance","duty","premier","plus","standard","wheelchair_companion","wheelchair","senior","adult","youth","child","guide_dog","00~02","03~12","13~19","20~29","30~39","40~49","50~59","60~69","70~79","80~89","90~99","100+","eu_count","noneu_count","passeneger_counts","child_meal","dairy_free_meal","diabetic_meal","gluten_free_meal","kosher_meal","low_fat_meal","low_salt_meal","halal_meal","vegan_meal","vegetarian_meal","standard_meal"
"9322",2024-12-30,NLAMA-FRPNO,ER,E320,,1,9,Schiphol Airport,Netherlands,"52.308787","4.761487","13",8,0,0,0,2,12,15,0,0,1,20,7,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,29,0,0,0,0,0,0,0,0,0,0,2
"9328",2024-12-30,NLAMA-FRPNO,ER,PBKA,"4344",3,19,Amsterdam Centraal,Netherlands,"52.3702157","4.895167899999933","12",9,47,0,0,27,47,146,1,1,22,144,46,10,0,0,3,1,6,2,4,5,7,4,0,0,0,11,21,222,0,0,0,0,0,0,0,0,0,0,29
"9328",2024-12-30,NLAMA-FRPNO,ER,PBKA,"4344",3,19,Rotterdam Centraal,Netherlands,"51.9236739","4.470496400000002","16",9,0,0,0,2,22,73,0,1,13,52,24,9,0,0,5,0,3,2,5,3,0,2,0,0,0,16,4,98,0,0,0,0,0,0,0,0,0,0,3
"9328",2024-12-30,NLAMA-FRPNO,ER,PBKA,"4344",3,19,Schiphol Airport,Netherlands,"52.308787","4.761487","13",9,0,0,0,0,3,17,0,0,3,11,4,2,0,0,0,0,3,0,0,0,0,0,0,0,0,3,0,20,0,0,0,0,0,0,0,0,0,0,0
"9339",2024-12-30,FRPNO-NLAMA,ER,PBA,,0,9,Brussels Midi / Zuid,Belgium,"50.835374","4.335695","16",13,0,0,0,6,17,42,2,0,2,50,14,1,0,0,0,0,1,0,0,3,0,1,0,0,0,2,3,67,0,0,0,0,0,0,0,0,0,0,8
"9340",2024-12-30,NLAMA-FRPNO,ER,RUB,"4535",1,4,Amsterdam Centraal,Netherlands,"52.3702157","4.895167899999933","12",11,0,0,0,26,65,153,1,2,25,145,61,16,0,0,3,10,8,8,7,10,9,5,0,0,0,21,39,247,0,0,0,0,0,0,0,0,0,0,29
"9340",2024-12-30,NLAMA-FRPNO,ER,RUB,"4535",1,4,Rotterdam Centraal,Netherlands,"51.9236739","4.470496400000002","16",11,0,0,0,0,10,39,0,0,5,31,12,1,0,0,0,2,0,4,0,3,1,0,0,0,0,10,0,49,0,0,0,0,0,0,0,0,0,0,0
"9340",2024-12-30,NLAMA-FRPNO,ER,RUB,"4535",1,4,Schiphol Airport,Netherlands,"52.308787","4.761487","13",11,0,0,0,3,1,26,0,0,2,22,3,3,0,0,0,1,0,0,1,0,0,0,0,0,0,2,0,30,0,0,0,0,0,0,0,0,0,0,3
"9352",2024-12-30,NLAMA-FRPNO,ER,PBA,"4540",2,12,Amsterdam Centraal,Netherlands,"52.3702157","4.895167899999933","12",13,0,0,0,23,59,206,0,0,18,190,67,13,0,0,2,1,10,4,5,1,0,1,1,0,0,3,22,288,0,0,0,0,0,0,0,0,0,0,23
"9352",2024-12-30,NLAMA-FRPNO,ER,PBA,"4540",2,12,Rotterdam Centraal,Netherlands,"51.9236739","4.470496400000002","16",13,0,0,0,3,18,25,2,1,2,34,9,4,0,0,1,0,1,1,2,0,0,0,0,0,0,2,3,49,0,0,0,0,0,0,0,0,0,0,6
