"train_no","scheduled_dt","route","carrier","eq_code","set_no","dep_delay","arr_delay","station","country","latitude","longitude","zoom","hr","group","assistance","duty","premier","plus","standard","wheelchair_companion","wheelchair","senior","adult","youth","child","guide_dog","00~02","03~12","13~19","20~29","30~39","40~49","50~59","60~69","70~79","80~89","90~99","100+","eu_count","noneu_count","passeneger_counts","child_meal","dairy_free_meal","diabetic_meal","gluten_free_meal","kosher_meal","low_fat_meal","low_salt_meal","halal_meal","vegan_meal","vegetarian_meal","standard_meal"
"9142",2024-12-24,GBSPX-BEBMI,Eurostar,E320,"4003-4004",-1,-1,London St Pancras Int'l,United Kingdom,"51.531427",-0.12613299999998162,"17",15,0,0,1,18,131,583,1,1,23,461,201,49,0,0,68,130,169,112,130,94,28,12,2,0,0,614,131,734,4,2,0,0,2,0,0,2,1,2,138
"9148",2024-12-24,GBSPX-BEBMI,Eurostar,E300,"3229-3230",-1,2,London St Pancras Int'l,United Kingdom,"51.531427",-0.12613299999998162,"17",17,21,0,0,4,108,437,1,1,12,384,133,22,0,1,33,91,120,77,100,77,15,4,1,0,0,439,80,551,3,0,0,1,0,0,0,0,2,1,107
"9149",2024-12-24,BEBMI-GBSPX-FAST,Eurostar,E320,"4013-4014",11,-2,Lille Europe,France,"50.639224","3.075796","16",17,0,0,0,0,15,62,0,0,5,54,10,8,0,1,14,2,21,18,14,4,4,6,1,0,0,40,45,77,0,0,0,0,0,0,0,2,1,3,9
"9149",2024-12-24,BEBMI-GBSPX-FAST,Eurostar,E320,"4013-4014",11,-2,Brussels Midi / Zuid,Belgium,"50.835374","4.335695","16",16,0,0,0,0,95,506,0,0,16,434,103,48,0,1,63,59,153,130,111,62,26,11,1,0,0,321,296,601,1,0,0,1,0,0,0,1,0,6,86
"9153",2024-12-24,BEBMI-GBSPX-FAST,Eurostar,E300,"3205-3206",12,17,Lille Europe,France,"50.639224","3.075796","16",18,0,0,0,0,1,33,0,0,0,25,8,1,0,0,3,8,9,5,11,5,1,0,0,0,0,26,16,34,0,0,0,0,0,0,0,0,0,0,1
"9153",2024-12-24,BEBMI-GBSPX-FAST,Eurostar,E300,"3205-3206",12,17,Brussels Midi / Zuid,Belgium,"50.835374","4.335695","16",17,0,0,0,9,32,367,3,3,4,324,59,27,0,1,35,41,115,94,53,47,18,1,0,0,0,208,197,414,0,0,0,0,1,0,0,0,2,2,42
"9310",2024-12-24,NLAMA-FRPNO,EurostarRed(Thalys),PBKA,"4536",,,Amsterdam Centraal,Netherlands,"52.3702157","4.895167899999933","12",6,0,0,0,4,41,106,0,0,5,99,42,5,0,0,2,6,15,9,4,2,2,2,0,0,0,30,12,151,0,0,0,0,0,0,0,0,0,0,4
"9310",2024-12-24,NLAMA-FRPNO,EurostarRed(Thalys),PBKA,"4536",,,Rotterdam Centraal,Netherlands,"51.9236739","4.470496400000002","16",6,0,0,0,4,15,101,0,0,0,73,41,6,0,0,1,2,6,7,0,5,0,0,0,0,0,17,4,120,0,0,0,0,0,0,0,0,0,0,4
"9310",2024-12-24,NLAMA-FRPNO,EurostarRed(Thalys),PBKA,"4536",,,Schiphol Airport,Netherlands,"52.308787","4.761487","13",6,0,0,0,1,5,8,0,0,1,11,1,1,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,14,0,0,0,0,0,0,0,0,0,0,1
"9321",2024-12-24,FRPNO-NLAMA,EurostarRed(Thalys),PBKA,"4301",,,Brussels Midi / Zuid,Belgium,"50.835374","4.335695","16",10,0,0,0,5,13,36,0,0,4,34,15,1,0,0,0,3,4,1,0,1,0,0,0,0,0,6,3,54,0,0,0,0,0,0,0,0,0,0,5
"9322",2024-12-24,NLAMA-FRPNO,EurostarRed(Thalys),E320,,0,2,Amsterdam Centraal,Netherlands,"52.3702157","4.895167899999933","12",8,0,0,0,38,86,400,0,0,11,313,171,29,0,0,5,5,31,31,14,16,4,1,0,0,0,48,59,524,0,0,0,0,0,0,0,0,0,0,38
"9322",2024-12-24,NLAMA-FRPNO,EurostarRed(Thalys),E320,,0,2,Rotterdam Centraal,Netherlands,"51.9236739","4.470496400000002","16",8,0,0,0,2,41,208,1,1,12,129,86,26,0,1,10,9,30,18,12,16,3,0,0,0,0,82,17,253,0,0,0,0,0,0,0,0,0,0,4
"9322",2024-12-24,NLAMA-FRPNO,EurostarRed(Thalys),E320,,0,2,Schiphol Airport,Netherlands,"52.308787","4.761487","13",8,0,0,0,9,3,43,0,0,4,31,18,2,0,0,0,4,0,2,0,3,0,2,0,0,0,5,6,55,0,0,0,0,0,0,0,0,0,0,9
